角色ID,名字,泛用性評估,功能定位與戰術價值,培養建議
608,伝説の冒険少女カンナ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
610,帝獣ダークガルディアン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <無屬性> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
613,ネコ女王,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <詛咒> 控制 <無特定屬性> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
615,南国衛星スーパーシャイン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <使動作變慢> 控制 <黑色敵人、異星敵人、惡魔> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
618,デビルハンターサトル,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <惡魔> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
619,怨嗟の魔神・天草四郎,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人、惡魔> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
620,大賢女リリンπ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <天使、惡魔> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
621,邪龍皇帝ヘヴィジャーク,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、惡魔> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
625,ドッジボール部くにおくん,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
626,ゲキオコパサラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
632,暗黒の精霊王ヤミノワールド,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
633,超電磁戦機ディア・ボロス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <天使、不死生物、惡魔> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
634,大妖怪結社チュンチュン,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
635,神魔騎士キュクロプス,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <惡魔> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
642,魅惑の舞姫イズ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <多種屬性敵人> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
643,Gグランドルシファー,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人、惡魔> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
645,LOVEミントメカ子,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <古代種> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
648,大狩猟娘テルンζ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
649,恋愛番長・鬼神にゃんま,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 · 同時具備多種控場手段，戰場覆蓋與壓制能力佳。 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 · 同時具備多種控場手段，戰場覆蓋與壓制能力佳。 主要針對 <多種屬性敵人> 發揮壓制能力。 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <多種控場能力> 發揮壓制能力。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
650,絶影の忍神・服部半蔵,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人、漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
656,氷結の精霊王ブリザレーナ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
658,哀悼の舞姫ダークイズ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <無屬性、不死生物、惡魔> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <打飛敵人> 控制 <無屬性、不死生物、惡魔> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
661,海龍皇帝ダライアサン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <使動作變慢> 控制 <漂浮敵人、天使> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
662,ウェディングクロノス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <多種控場能力> 發揮壓制能力。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
667,ナイトビーチリリンπ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
669,大神仙ネコ天狗,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
672,早乙女らんま(チアガール),泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
675,超奇襲怪光エンヴァンズ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
682,ルークCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
683,虚影の加護女神ベガ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
684,吸血鬼公爵・真田幸村,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
687,来光の女神シリウス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <多種屬性敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
688,トナカイ娘テルンζ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <黑色敵人、異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
691,天命の王フォノウ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
693,鬼襲戦艇コヅチマル,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <無屬性、天使> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
694,黒執事探偵グラヴィー,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
699,ライトニングジャック,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <異星敵人、惡魔> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
700,決闘王者ラビットサトル,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <使動作變慢> 控制 <無屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
706,断命の王ダークフォノウ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
710,碧眼の魔女アスカ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
711,エヴァ第13号機＆ネコ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <惡魔> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
713,カオランタタラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <打飛敵人> 發揮壓制能力。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
715,大海原のダイバーカンナ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
716,超突撃部隊コンボーイズ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、鋼鐵敵人、不死生物> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
720,鋼鉄の精霊王ガンテツカッチン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
723,初音ミクCC 16th,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
724,Gネフェルイシス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
726,食道楽忍者トモエ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
734,鉄籠のペガサν,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
737,ネコアイストップスター,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
738,スプリングXカリファ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <不死生物> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <詛咒> 控制 <不死生物> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
747,緋村剣心CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <無屬性、惡魔> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
748,相楽左之助CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <不死生物> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
749,四乃森蒼紫CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
750,斎藤一CC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、惡魔> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
755,武神・明智光秀,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
759,復讐の傭兵トリクシー,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
760,サマーフェスサンディアβ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
761,砲龍王ガンドロス,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <黑色敵人、異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
763,ギガント全能神スーパーゼウス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <天使、惡魔> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
764,メカ・ネコダイナザウルス,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
769,たいてんきCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
770,暴食怪樹オオザクラ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
773,ソドム・オー・ランタン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性壓制型角色】。 主要針對 <鋼鐵敵人> 發揮壓制效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。 擅長以 <打飛敵人> 控制 <鋼鐵敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
775,ダーティー・アクセル,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
778,冬大将軍・成田甲斐,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
779,魔法結社にゃんこ☆マギカ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <漂浮敵人、異星敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
780,救済の天女ルナーシャ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
782,マモランパサラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
784,超スターこねこ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
787,イリュージョンキャットマン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
788,寂滅の天女ダークルナーシャ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
790,範馬刃牙CC,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <不死生物、惡魔> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
791,烈海王CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、異星敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
792,花山薫CC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
794,ジャック・ハンマーCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
800,迎撃砲隊ガンハウザー,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
804,ソニック＆ネコ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
805,テイルス＆ネコ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <詛咒> 控制 <紅色敵人、異星敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
807,シャドウ＆ネコ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
811,エッジマスター・スタール,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
812,スカンダゼタ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
815,エヴァネコ量産機,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
818,樹木の精霊モリリン,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <詛咒> 控制 <黑色敵人、異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
825,炎の大魔導師シドミ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、漂浮敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
827,キャミィCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
828,ジュリCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 · 同時具備多種控場手段，戰場覆蓋與壓制能力佳。 主要針對 <漂浮敵人、天使> 發揮壓制能力。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
831,獅子番長ラクレスΣ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <漂浮敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <多種控場能力> 控制 <漂浮敵人> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
837,超グレートニャンコオーDX,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、黑色敵人、惡魔> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
838,満月の騎士ルーノス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
841,竈門炭治郎CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
842,竈門禰豆子CC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <無屬性、異星敵人、不死生物> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
843,我妻善逸CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <不死生物> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
844,嘴平伊之助CC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
